id,posted_date,date,company,issuing_office,subject,response_letter,closeout_letter,url
00000,03/10/2026,02/27/2026,snushaven.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/snushavencom-724257-02272026
00001,03/10/2026,02/27/2026,thesnuslife.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/thesnuslifecom-724354-02272026
00002,03/10/2026,02/27/2026,idripejuice.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/idripejuicecom-724255-02272026
00003,03/10/2026,12/19/2025,"Exactech, Inc. dba Advita Ortho",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/exactech-inc-dba-advita-ortho-720250-12192025
00004,03/10/2026,03/03/2026,Simtra BioPharma Solutions,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/simtra-biopharma-solutions-720436-03032026
00005,03/10/2026,03/03/2026,Tentamus India Private Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tentamus-india-private-limited-720463-03032026
00006,03/10/2026,03/03/2026,Fareva Morton Grove,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fareva-morton-grove-719408-03032026
00007,03/10/2026,02/17/2026,Raw Bistro Inc.,Center for Veterinary Medicine,"CGMP/Food for Animals/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/raw-bistro-inc-719038-02172026
00008,03/10/2026,03/02/2026,"NSE Products, Inc. DBA Nu Skin Enterprises, Inc.",Center for Drug Evaluation and Research (CDER),Electronic Drug Registration and Listing System (eDRLS)/Violations,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nse-products-inc-dba-nu-skin-enterprises-inc-722667-03022026
00009,03/10/2026,03/05/2026,SSS AUSTAR LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sss-austar-llc-724502-03052026
00010,03/10/2026,02/19/2026,El Rey USA Meats & Seafood Inc.,Office of Inspections and Investigations,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/el-rey-usa-meats-seafood-inc-722157-02192026
00011,03/10/2026,02/27/2026,Rio Verde Food Service Inc.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rio-verde-food-service-inc-719149-02272026
